Articulo,Descripcion,Rubro,CON EL 20%,Stock,img
2-012,CINTA MULTIPROPOSITO 9 MTS NEGRO,FERRETERIA,"$3,505.49",20,
2-012,CINTA MULTIPROPOSITO 9 MTS NEGRO,FERRETERIA,"$3,884.46",20,
2-013,CINTA MULTIPROPOSITO 9 MTS ROJA,FERRETERIA,"$3,505.49",20,
2-013,CINTA MULTIPROPOSITO 9 MTS ROJA,FERRETERIA,"$3,884.46",20,
5-074,CINTA NANO TAPE TRANSP. DOBLE FAZ 24 MM X 1 MT,PINTURA,"$1,288.03",20,
1-007-10M,CINTA PASACABLE 10 M,ELECTRICIDAD,"$3,290.63",20,
1-007-15M,CINTA PASACABLE 15M,ELECTRICIDAD,"$4,515.46",20,
1-007-25M,CINTA PASACABLE 20M,ELECTRICIDAD,"$4,935.93",20,
MP-050-C25,CINTA TRAMADA X 25,PINTURA,"$2,398.42",20,
MP-050-C26,CINTA TRAMADA X 45,PINTURA,"$3,752.17",20,
MP-050-C27,CINTA TRAMADA X 90,PINTURA,"$6,357.41",20,
4-018,COLA VINILICA 20 KGS,PEGAMENTO,"$94,419.12",20,
4-017,COLA VINILICA FANACOLA X 4 KG,PEGAMENTO,"$22,098.84",20,
4-014,COLA VINILICA-FANA 1 KG,PEGAMENTO,"$6,653.79",20,
4-015,COLA VINILICA-FANA 125 CC,PEGAMENTO,"$1,864.64",20,
4-016,COLA VINILICA-FANA 250 CC,PEGAMENTO,"$2,649.56",20,
4-017,COLA VINILICA-FANA 500 CC,PEGAMENTO,"$4,121.84",20,
1-061,CONECTOR CAÑO RIGIDO PVC 20,ELECTRICIDAD,$203.00,20,
1-062,CONECTOR CAÑO RIGIDO PVC 22,ELECTRICIDAD,$278.72,20,
1-063,CONECTOR CAÑO RIGIDO PVC 25,ELECTRICIDAD,$308.70,20,
1-064,CONECTOR METALICO 3/4,ELECTRICIDAD,$268.47,20,
1-065,CONECTOR METALICO 7/8,ELECTRICIDAD,$459.02,20,
5-070,CONVERTIDOR DE OXIDO MATE BLANCO 1/2 LT,PINTURA,"$4,995.60",20,
1-066,"CORRUGADO LIVIANO BLANCO 1"" 25M",ELECTRICIDAD,"$7,055.63",20,
1-067,CORRUGADO LIVIANO BLANCO 3/4 25M,ELECTRICIDAD,"$3,900.47",20,
1-068,CORRUGADO LIVIANO BLANCO 7/8 25M,ELECTRICIDAD,"$5,487.25",20,
1-069,"CORRUGADO LIVIANO NARANJA 1"" 25M",ELECTRICIDAD,"$5,849.38",20,
1-070,CORRUGADO LIVIANO NARANJA 3/4 25M,ELECTRICIDAD,"$3,418.98",20,
1-071,CORRUGADO LIVIANO NARANJA 7/8 25M,ELECTRICIDAD,"$4,432.01",20,
1-072,CORRUGADO NORMALIZADO BLANCO 1 25MM,ELECTRICIDAD,"$10,546.72",20,
1-074,CORRUGADO NORMALIZADO BLANCO 1 25MM,ELECTRICIDAD,"$10,677.90",20,
1-072,CORRUGADO NORMALIZADO BLANCO 3/4 25MM,ELECTRICIDAD,"$6,868.64",20,
1-073,CORRUGADO NORMALIZADO BLANCO 3/4 25MM,ELECTRICIDAD,"$6,883.28",20,
1-074,CORRUGADO NORMALIZADO BLANCO 7/8 25MM,ELECTRICIDAD,"$9,013.38",20,
1-073,CORRUGADO NORMALIZADO BLANCO 7/8 25MM,ELECTRICIDAD,"$9,058.23",20,
1-075,CURVA PARA CAÑO RIGIDO PVC 20,ELECTRICIDAD,$391.22,20,
1-076,CURVA PARA CAÑO RIGIDO PVC 22,ELECTRICIDAD,$366.99,20,
1-077,CURVA PARA CAÑO RIGIDO PVC 25,ELECTRICIDAD,$406.22,20,
2-014-3,CUTTER PLEGABLE +3 FILOS REPUESTO,FERRETERIA,"$3,100.31",20,
2-014,CUTTER PROFESIONAL CARRETEL METAL,FERRETERIA,$950.15,20,
Y-003-CPM,CUTTER PROFESIONAL CARRETEL METAL,FERRETERIA,"$1,213.99",20,
10-040-D1,DESOXIDANTE X 100 CM3,FERRETERIA,"$1,772.69",20,
10-005-P,DESTAPA CAÑERIAS PENETRIT X 1 LT,FERRETERIA,"$2,934.09",20,
10-004-P,DESTAPA CAÑERIAS PENETRIT X 500CM3,FERRETERIA,"$1,837.52",20,
2-232-DR,DESTORNILLADOR REVERSIBLE 4 USOS,FERRETERIA,"$1,849.33",20,
1-078,DICROICA LUZ CALIDA 5W,ELECTRICIDAD,"$1,012.19",20,
1-079,DICROICA LUZ CALIDA 7W,ELECTRICIDAD,"$1,083.79",20,
1-080,DICROICA LUZ FRIA 5W,ELECTRICIDAD,"$1,012.19",20,
1-081,DICROICA LUZ FRIA 7W,ELECTRICIDAD,"$1,076.99",20,
SG-036-N1,DISCO DE CORTE 115 X 1,FERRETERIA,$377.48,20,
SG-035-N16,"DISCO DE CORTE 115 X 1,6",FERRETERIA,$377.48,20,
2-D001-AB,"DISCO DE FIBRA 115 x 22,2",FERRETERIA,"$5,754.95",20,
2-016-D,DISCO DIAMANTADO 115 SEGMENTADO,FERRETERIA,"$2,992.54",20,
12-005-TURBO,DISCO DIAMANTADO TURBO 115X4.5,FERRETERIA,"$3,095.70",20,
12-005-TURBO,"DISCO DIAMANTADO TURBO 180 7""",FERRETERIA,"$6,804.81",20,
2-230-D7,"DISCO DIAMANTADO180 SEGMETADO 7 """,FERRETERIA,"$6,638.75",20,
SG-037-FL100,DISCO FLAP  100,FERRETERIA,"$1,002.30",20,
SG-037-F120,DISCO FLAP  120,FERRETERIA,"$1,002.30",20,
SG-037-FL40,DISCO FLAP  40,FERRETERIA,"$1,002.30",20,
SG-037-FL60,DISCO FLAP  60,FERRETERIA,"$1,002.30",20,
SG-037-FL80,DISCO FLAP  80,FERRETERIA,"$1,002.30",20,
2-230-D230,DISCO GRANDE 230 PARA MADERA 30 DIENTES,FERRETERIA,"$8,334.59",20,
2-016-LISO,"DISCO LISO DIAMANTADO 115 X 4.5 """,FERRETERIA,"$3,078.62",20,
2-230-D,DISCO PARA MADERA 115 30 DIENTES,FERRETERIA,"$3,313.39",20,
3-089-PUF,DISCO PARA PORCELANATO ULTRA FINO,FERRETERIA,"$6,866.45",20,
1-090-DS,"DISCO SEGMENTADO 9"" 230X22,2",FERRETERIA,"$10,253.09",20,
1-082,DISYUNTOR 4 POLOS 25A-30MA TIPO AC,ELECTRICIDAD,"$43,263.07",20,
1-083,DISYUNTOR 4 POLOS 40A-30MA TIPO AC,ELECTRICIDAD,"$43,263.07",20,
1-084,DISYUNTOR BIPOLAR 25A-30MA TIPO AC,ELECTRICIDAD,"$26,627.53",20,
1-085,DISYUNTOR BIPOLAR 40A-30MA TIPO AC,ELECTRICIDAD,"$26,627.53",20,
1-086,DRIVER 12 W,ELECTRICIDAD,"$1,557.40",20,
1-087,DRIVER 18 W,ELECTRICIDAD,"$1,633.39",20,
1-088,DRIVER 24 W,ELECTRICIDAD,"$1,823.34",20,
1-092,EMBUTIR CIOCCA BARI  1 TOMA 20 AMP,ELECTRICIDAD,"$1,596.19",20,
1-089,EMBUTIR CIOCCA BARI BINORMA 1 PUNTO,ELECTRICIDAD,"$1,152.58",20,
1-090,EMBUTIR CIOCCA BARI BINORMA 1 PUNTO Y 1 TOMA,ELECTRICIDAD,"$1,607.41",20,
1-091,EMBUTIR CIOCCA BARI BINORMA 1 TOMA,ELECTRICIDAD,"$1,205.04",20,
1-093,EMBUTIR CIOCCA BARI BINORMA 2 PUNTOS,ELECTRICIDAD,"$1,563.12",20,
1-094,EMBUTIR CIOCCA BARI BINORMA 2 PUNTOS Y 1 TOMA,ELECTRICIDAD,"$1,938.77",20,
1-095,EMBUTIR CIOCCA BARI BINORMA 2 TOMAS,ELECTRICIDAD,"$1,664.47",20,
1-100,EMBUTIR CIOCCA RECTA  1 TOMA 20 AMP,ELECTRICIDAD,"$1,455.29",20,
1-096,EMBUTIR CIOCCA RECTA BINORMA 1 PUNTO,ELECTRICIDAD,"$1,161.33",20,
1-098,EMBUTIR CIOCCA RECTA BINORMA 1 PUNTO Y 1 TOMA,ELECTRICIDAD,"$1,613.56",20,
1-097,EMBUTIR CIOCCA RECTA BINORMA 1 PUNTO Y 2 TOMA,ELECTRICIDAD,"$2,117.47",20,
1-099,EMBUTIR CIOCCA RECTA BINORMA 1 TOMA 10 A,ELECTRICIDAD,"$1,204.79",20,
1-101,EMBUTIR CIOCCA RECTA BINORMA 2 PUNTOS,ELECTRICIDAD,"$1,597.80",20,
1-102,EMBUTIR CIOCCA RECTA BINORMA 2 PUNTOS Y 1 TOMA,ELECTRICIDAD,"$2,041.67",20,
1-103,EMBUTIR CIOCCA RECTA BINORMA 2 TOMAS,ELECTRICIDAD,"$1,713.15",20,
1-100,EMBUTIR JELUZ VERONA  1 TOMA 20 AMP,ELECTRICIDAD,"$1,885.85",20,
1-096,EMBUTIR JELUZ VERONA 1 PUNTO,ELECTRICIDAD,"$1,357.70",20,
1-098,EMBUTIR JELUZ VERONA BINORMA 1 PUNTO Y 1 TOMA,ELECTRICIDAD,"$1,969.33",20,
1-099,EMBUTIR JELUZ VERONA BINORMA 1 TOMA 10 A,ELECTRICIDAD,"$1,368.46",20,
1-101,EMBUTIR JELUZ VERONA BINORMA 2 PUNTOS,ELECTRICIDAD,"$1,958.57",20,
1-103,EMBUTIR JELUZ VERONA BINORMA 2 TOMAS,ELECTRICIDAD,"$1,980.08",20,
5-072,ENDUIDO INTERIOR EXTERIOR MURELLA 1/2LT,PINTURA,"$1,751.71",20,
5-073,ENDUIDO INTERIOR EXTERIOR MURELLA 10LTS,PINTURA,"$19,513.29",20,
5-074,ENDUIDO INTERIOR EXTERIOR MURELLA 1LT,PINTURA,"$2,769.45",20,
5-075,ENDUIDO INTERIOR EXTERIOR MURELLA 20LTS,PINTURA,"$35,560.39",20,
5-076,ENDUIDO INTERIOR EXTERIOR MURELLA 4 LTS,PINTURA,"$8,994.29",20,
5-081,ENTONADORES AMARILLO 120 CC,PINTURA,"$1,500.00",20,
5-082,ENTONADORES AZUL 120 CC,PINTURA,"$1,500.00",20,
5-083,ENTONADORES BERMELLON 120 CC,PINTURA,"$1,500.00",20,
5-084,ENTONADORES CEDRO 120 CC,PINTURA,"$1,500.00",20,
5-085,ENTONADORES MARRON 120 CC,PINTURA,"$1,500.00",20,
5-086,ENTONADORES NARANJA 120 CC,PINTURA,"$1,500.00",20,
5-087,ENTONADORES NEGRO 120 CC,PINTURA,"$1,500.00",20,
5-088,ENTONADORES OCRE 120 CC,PINTURA,"$1,500.00",20,
5-089,ENTONADORES SIENA 120 CC,PINTURA,"$1,500.00",20,
5-090,ENTONADORES VERDE CLARO 120 CC,PINTURA,"$1,500.00",20,
5-091,ENTONADORES VERDE OSCURO 120 CC,PINTURA,"$1,500.00",20,
5-092,ENTONADORES VIOLETA 120 CC,PINTURA,"$1,500.00",20,
5-093,ESMALTE SINTETICO ALTA TEMPERATURA 1 LT,PINTURA,"$18,410.93",20,
5-094,ESMALTE SINTETICO ALTA TEMPERATURA 1/2 LT,PINTURA,"$10,314.15",20,
5-095,ESMALTE SINTETICO ALTA TEMPERATURA 1/4 LT,PINTURA,"$6,495.90",20,
5-096,ESMALTE SINTETICO MATE BLANCO 1/2 LT,PINTURA,"$5,269.41",20,
5-097,ESMALTE SINTETICO MATE BLANCO 1/4 LT,PINTURA,"$3,516.47",20,
5-098,ESMALTE SINTETICO MATE BLANCO 1LT,PINTURA,$920.39,20,
5-099,ESMALTE SINTETICO MATE NEGRO 1 LT,PINTURA,"$7,734.11",20,
5-100,ESMALTE SINTETICO MATE NEGRO 1/2 LT,PINTURA,"$4,759.46",20,
5-101,ESMALTE SINTETICO MATE NEGRO 1/4 LT,PINTURA,"$3,261.49",20,
5-102,ESMALTE SINTETICO PIZARRON 1/2 LT,PINTURA,"$5,133.56",20,
5-103,ESMALTE SINTETICO PIZARRON 1/4 LT,PINTURA,"$3,539.56",20,
5-104,ESMALTE SINTETICO PIZARRON 1LT,PINTURA,"$8,063.66",20,
5-105,ESMALTE SINTETICO SATINADO BLANCO 1 LT,PINTURA,"$9,824.64",20,
5-106,ESMALTE SINTETICO SATINADO BLANCO 1/2 LT,PINTURA,"$5,894.78",20,
5-107,ESMALTE SINTETICO SATINADO NEGRO 1 LT,PINTURA,"$7,943.34",20,
5-108,ESMALTE SINTETICO SATINADO NEGRO 1/2 LT,PINTURA,"$4,954.14",20,
5-114 - E,ESPATULA PARA CHAPISTA X 4 UNIDADES,FERRETERIA,"$1,031.91",20,
5-109,ESPATULAS MANGO DE PLASTICO 3 (30MM),PINTURA,"$1,030.60",20,
5-110,ESPATULAS MANGO DE PLASTICO 4 (40MM),PINTURA,"$1,067.74",20,
5-111,ESPATULAS MANGO DE PLASTICO 5 (50MM),PEGAMENTO,"$1,091.29",20,
5-112,ESPATULAS MANGO DE PLASTICO 6 (60MM),PINTURA,"$1,121.18",20,
5-112,ESPATULAS MANGO DE PLASTICO 8 (80 MM),PINTURA,"$1,121.18",20,
2-018,ESPUMA  OFERTA IMPERDIBLE DE POLIURETANO 500CC,FERRETERIA,"$5,790.31",20,
SG-041-E300,ESPUMA  POLIURETANO X 300,FERRETERIA,"$5,566.27",20,
SG-041-E500,ESPUMA  POLIURETANO X 500,FERRETERIA,"$7,302.13",20,
SG-041-E750,ESPUMA  POLIURETANO X 750,FERRETERIA,"$9,822.49",20,
2-019,ESPUMA DE POLIURETANO 300CC,FERRETERIA,"$4,922.53",20,
2-020,ESPUMA DE POLIURETANO 500CC,FERRETERIA,"$6,260.32",20,
2-021,ESPUMA DE POLIURETANO 750CC,FERRETERIA,"$8,640.00",20,
5-113,ESTOPA,PINTURA,$563.64,20,
5-112,ESTOPA,PINTURA,$563.64,20,
13-001-EX,EXHIBIDOR MOSTRADOR  PENETRIT,FERRETERIA,$1.16,20,
1-081-C,EXTERIOR TIRA LED CALIDA 5 MTS,ELECTRICIDAD,"$10,893.69",20,
1-081-,EXTERIOR TIRA LED LUZ FRIA 5 MT,ELECTRICIDAD,"$10,893.69",20,
4-039,FANASIL SILICONA A PINCEL X 14 KGRS,PEGAMENTO,"$408,011.14",20,
4-038,FANASIL SILICONA A PINCEL X 3 KGRS,PEGAMENTO,"$93,264.36",20,
4-036,FANASIL SILICONA A PINCEL X 350 GRS,PEGAMENTO,"$13,608.54",20,
1-037,FANASIL SILICONA A PINCEL X 750 GRS,PEGAMENTO,"$25,907.28",20,
1-104-BL,FICHA CALEFON BLANCA,ELECTRICIDAD,$609.38,20,
1-104,FICHA CALEFON NEGRA,ELECTRICIDAD,$609.38,20,
1-106,FICHA HEMBRA BLANCA C/ GRIS BINORMA  10A,ELECTRICIDAD,$660.40,20,
1-113-H,FICHA HEMBRA JELUZ 10A BCA C/MANIJA SALIDA LATERAL,ELECTRICIDAD,"$1,087.70",20,
1-114-H,FICHA HEMBRA JELUZ 10A NGO C/MANIJA SALIDA LATERAL,ELECTRICIDAD,"$1,087.70",20,
1-116,FICHA HEMBRA NEGRA BINORMA GFP 10A,ELECTRICIDAD,$660.40,20,
1-105,FICHA HEMBRA NEGRA BINORMA TIPO RICHI C/PRENSA CABLE  10A,ELECTRICIDAD,$588.15,20,
1-109-HR,FICHA HEMBRA PERNO REDONDO 10A,ELECTRICIDAD,$684.46,20,
1-112,FICHA MACHO BLANCA C/ GRIS  3 PATAS  10A,ELECTRICIDAD,$660.40,20,
1-109,FICHA MACHO CON PERNO REDONDO 10A,ELECTRICIDAD,$516.85,20,
1-113,FICHA MACHO JELUZ  10A BCO C/MANIJA SALIDA LATERAL,ELECTRICIDAD,"$1,147.02",20,
1-110,FICHA MACHO JELUZ  20A BCO C/MANIJA SALIDA LATERAL,ELECTRICIDAD,"$1,463.44",20,
1-114,FICHA MACHO JELUZ 10A NGO C/MANIJA SALIDA LATERAL,ELECTRICIDAD,"$1,147.02",20,
1-111,FICHA MACHO JELUZ 20A NGO C/MANIJA SALIDA LATERAL,ELECTRICIDAD,"$1,463.44",20,
1-112 -N,FICHA MACHO NEGRA 3 PATAS 10A GFP,ELECTRICIDAD,$660.40,20,
1-115,FICHA MACHO NEGRA TIPO RICHI C/PRENSA CABLE 10A,ELECTRICIDAD,$588.15,20,
1-108,FICHA MACHO VR PLAST BLANCA C/SALIDA LATERAL 10A,ELECTRICIDAD,$567.90,20,
1-117,FLORON BLANCO 12 CM,ELECTRICIDAD,$181.12,20,
1-118,FLORON BLANCO 15 CM,ELECTRICIDAD,$307.93,20,
1-117,FLORON BLANCO TRAMADO  12 CM,ELECTRICIDAD,$133.78,20,
1-118,FLORON BLANCO TRAMADO 15 CM,ELECTRICIDAD,$236.80,20,
M-052-FRB,FLORON RECTOR LISO BLANCO 12 CM,ELECTRICIDAD,$175.26,20,
1-153,FOCO FILAMENTO  GLOBO 6W,ELECTRICIDAD,"$3,112.88",20,
1-154,FOCO FILAMENTO CLASICA 4 W,ELECTRICIDAD,"$2,028.36",20,
1-155,FOCO FILAMENTO GOTA 4W,ELECTRICIDAD,"$1,722.96",20,
1-156,FOCO FILAMENTO TUBULAR 6W,ELECTRICIDAD,"$2,890.73",20,
1-157,FOCO GOTA  15 W ESPECILA PARA GUIRNALDAS,ELECTRICIDAD,$411.15,20,
1-133,FOCO INCANDECENTE GOTA 15W,ELECTRICIDAD,$457.92,20,
1-159,FOCO LED GLOBO LUZ FRIA 12 W,ELECTRICIDAD,"$3,571.09",20,
1-160,FOCO LED GOTA LUZ CALIDA 5W,ELECTRICIDAD,$975.84,20,
1-161,FOCO LED GOTA LUZ FRIA 5W,ELECTRICIDAD,$944.39,20,
1-291-FC,FOTOCELULA  CANDELA 1200 W 3 CONECTORES,ILUMINACION,"$3,825.05",20,
1-119,FOTOCELULA TREFI 3 CONECTORES,ELECTRICIDAD,"$5,909.19",20,
1-082-FU,FUENTE TIRA LED INTERIOR,ELECTRICIDAD,"$9,904.54",20,
1-298,GOTA LED VELA FRIA 5 W E 27,FERRETERIA,"$1,062.95",20,
1-149,GRAMPA DE FIJACION PVC 20,ELECTRICIDAD,$78.16,20,
1-121,GRAMPA DE FIJACION PVC 22,ELECTRICIDAD,$81.75,20,
1-122,GRAMPA DE FIJACION PVC 25,ELECTRICIDAD,$88.98,20,
3-004,GRASA AMARILLA TF-3 100 GRS,LUBRICANTES,"$1,289.02",20,
3-005,GRASA AMARILLA TF-3 250 GRS,LUBRICANTES,"$2,444.32",20,
3-006,GRASA AMARILLA TF-3 450 GRS,LUBRICANTES,"$4,138.40",20,
26-003-P,GRASA BLANCA EN AEROSOL X 250 CM3,FERRETERIA,"$5,050.81",20,
3-007,GRASA DE LITIO TF-3 100 GR,LUBRICANTES,"$1,322.94",20,
3-008,GRASA DE LITIO TF-3 250 GR,LUBRICANTES,"$2,461.22",20,
3-009,GRASA DE LITIO TF-3 450 GR,LUBRICANTES,"$4,187.08",20,
3-010,GRASA GRAFITADA TF-3 100 GRS,LUBRICANTES,"$1,492.26",20,
3-011,GRASA GRAFITADA TF-3 250 GRS,LUBRICANTES,"$2,785.54",20,
3-011-40,GRASA GRAFITADA TF-3 45 GRS,LUBRICANTES,$962.44,20,
3-012,GRASA PARA RODAMIENTOS TF-3 100 GRS,LUBRICANTES,"$1,305.14",20,
3-013,GRASA PARA RODAMIENTOS TF-3 250 GRS,LUBRICANTES,"$2,428.40",20,
1-080-C,INTERIOR TIRA LED PARA  LUZ CALIDA 5 MT,ELECTRICIDAD,"$8,459.59",20,
1-080,INTERIOR TIRA LED PARA LUZ FRIA 5 MT,ELECTRICIDAD,"$8,459.59",20,
1-128-BL,KING BOBINA CABLE PARALELO BLANCO  2 X 1.5 X 500 MT,ELECTRICIDAD,$0.00,20,
1-129-BL,KING BOBINA CABLE PARALELO BLANCO 2 X 2.5 X 300 MT,ELECTRICIDAD,$0.00,20,
1-131-TALLER,KING BOBINA CABLE TIPO TALLER 2 X 1.5 X 400 MT,FERRETERIA,$0.00,20,
1-132-TALLER,KING BOBINA CABLE TIPO TALLER 2 X 2.5 X 400 MT,ELECTRICIDAD,$0.00,20,
1-134 NEGRO,KING BOBINA CABLE UNIPOLAR NEGRO 1.5 X 800 MT,ELECTRICIDAD,$0.00,20,
1-147-NEGRO,KING BOBINA CABLE UNIPOLAR NEGRO 2.5 X 500 MT,ELECTRICIDAD,$0.00,20,
1-133-NEGRO,KING BOBINA CABLE UNIPOLAR NEGRO 4 X 400 MT,ELECTRICIDAD,$0.00,20,
1-136-ROJO,KING BOBINA CABLE UNIPOLAR ROJA 2.5 X 370 MT,ELECTRICIDAD,$0.00,20,
1-135-ROJO,KING BOBINA CABLE UNIPOLAR ROJO 1.5 X 800 MT,ELECTRICIDAD,$0.00,20,
1-135-ROJO,KING BOBINA CABLE UNIPOLAR ROJO 2.5 X 500 MT,ELECTRICIDAD,$0.00,20,
1-133-ROJO,KING BOBINA CABLE UNIPOLAR ROJO 4 X 400 MT,ELECTRICIDAD,$0.00,20,
1-127,KING CABLE PARALELO BLANCO 1 100M,ELECTRICIDAD,"$32,317.64",20,
1-128,"KING CABLE PARALELO BLANCO 1,5 100M",ELECTRICIDAD,"$43,090.18",20,
1-129,"KING CABLE PARALELO BLANCO 2,5 100M",ELECTRICIDAD,"$51,277.33",20,
1-130,KING CABLE PARALELO NEGRO 1 100M,ELECTRICIDAD,"$32,313.95",20,
1-131,"KING CABLE TIPO TALLER 2 X 1,5 100M",ELECTRICIDAD,"$67,898.08",20,
1-132,"KING CABLE TIPO TALLER 2 X 2,5 100M",ELECTRICIDAD,"$87,836.40",20,
1-133,KING CABLE TIPO TALLER 2 X 4 100M,ELECTRICIDAD,"$140,502.90",20,
1-152,"KING CABLE TIPO TALLER 3 X 2,5",ELECTRICIDAD,"$127,540.67",20,
1-134,"KING CABLE UNIPOLAR AZUL 1,5 100M",ELECTRICIDAD,"$17,265.07",20,
1-135,"KING CABLE UNIPOLAR AZUL 2,5 100M",ELECTRICIDAD,"$23,187.38",20,
1-136,KING CABLE UNIPOLAR AZUL 4 100M,ELECTRICIDAD,"$41,458.79",20,
1-137,"KING CABLE UNIPOLAR BLANCO 1,5 100M",ELECTRICIDAD,"$17,265.07",20,
1-138,"KING CABLE UNIPOLAR BLANCO 2,5 100M",ELECTRICIDAD,"$23,187.38",20,
1-139,KING CABLE UNIPOLAR BLANCO 4 100M,ELECTRICIDAD,"$41,458.79",20,
1-140,"KING CABLE UNIPOLAR MARRON 1,5 100M",ELECTRICIDAD,"$17,265.07",20,
1-141,"KING CABLE UNIPOLAR MARRON 2,5 100M",ELECTRICIDAD,"$23,187.38",20,
1-142,KING CABLE UNIPOLAR MARRON 4 100M,ELECTRICIDAD,"$41,458.79",20,
1-143,"KING CABLE UNIPOLAR NEGRO 1,5 100M",ELECTRICIDAD,"$17,265.07",20,
1-144,"KING CABLE UNIPOLAR NEGRO 2,5 100M",ELECTRICIDAD,"$23,187.38",20,
1-152,KING CABLE UNIPOLAR NEGRO 4 100M,ELECTRICIDAD,"$41,458.79",20,
1-146,"KING CABLE UNIPOLAR ROJO 1,5 100M",ELECTRICIDAD,"$17,265.07",20,
1-147,"KING CABLE UNIPOLAR ROJO 2,5 100M",ELECTRICIDAD,"$23,187.38",20,
1-148,KING CABLE UNIPOLAR ROJO 4 100M,ELECTRICIDAD,"$41,458.79",20,
1-149,"KING CABLE UNIPOLAR VERDE Y AMARILLO 1,5 100M",ELECTRICIDAD,"$17,265.07",20,
1-150,"KING CABLE UNIPOLAR VERDE Y AMARILLO 2,5 100M",ELECTRICIDAD,"$23,187.38",20,
1-151,KING CABLE UNIPOLAR VERDE Y AMARILLO 4 100M,ELECTRICIDAD,"$41,458.79",20,
12-037-D,KIT PARCHE PARA BICICLETA,FERRETERIA,"$1,315.33",20,
12-038-D,KIT PARCHE PARA PILETA,FERRETERIA,"$1,753.64",20,
4-018,KIT PARCHE X 200 CC,PEGAMENTO,"$13,485.23",20,
4-019,KIT PARCHE X 500 CC,PEGAMENTO,"$18,277.36",20,
11-006,KIT TALADRO  3 PIEZAS,FERRETERIA,"$5,580.73",20,
5-LCBB-1,LACA CATALIZABLE BLANCA BRILLANTE X 1 LT,PINTURA,"$11,957.02",20,
5-LCBB-018,LACA CATALIZABLE BLANCA BRILLANTE X 18 LTS,PINTURA,"$187,139.38",20,
5-LCBB-200,LACA CATALIZABLE BLANCA BRILLANTE X 200 LTS,PINTURA,"$1,950,863.27",20,
5-LCBB-4,LACA CATALIZABLE BLANCA BRILLANTE X 4 LTS,PINTURA,"$43,783.73",20,
5-LCBS-1,LACA CATALIZABLE BLANCA SATINADA X 1 LT,PINTURA,"$12,561.16",20,
5-LCBS-018,LACA CATALIZABLE BLANCA SATINADA X 18 LTS,PINTURA,"$198,014.12",20,
5-LCBS-200,LACA CATALIZABLE BLANCA SATINADA X 200 LTS,PINTURA,"$2,071,693.05",20,
5-LCBS-4,LACA CATALIZABLE BLANCA SATINADA X 4 LTS,PINTURA,"$46,200.53",20,
5-LCBT-1L,LACA CATALIZABLE TRANSPARENTE BRILLANTE X 1 L,PINTURA,$0.00,20,
5-LCBT-018,LACA CATALIZABLE TRANSPARENTE BRILLANTE X 18 LTS,PINTURA,"$158,977.74",20,
5-LCBT-200,LACA CATALIZABLE TRANSPARENTE BRILLANTE X 200 LTS,PINTURA,"$1,637,956.13",20,
5-LCBT-4L,LACA CATALIZABLE TRANSPARENTE BRILLANTE X 4 L,PINTURA,$0.00,20,
5-LCST-1L,LACA CATALIZABLE TRANSPARENTE SATINADA X 1 L,PINTURA,$0.00,20,
5-LCST-018,LACA CATALIZABLE TRANSPARENTE SATINADA X 18 LTS,PINTURA,"$165,763.57",20,
5-LCST-200,LACA CATALIZABLE TRANSPARENTE SATINADA X 200 LTS,PINTURA,"$1,713,353.92",20,
5-LCST-4L,LACA CATALIZABLE TRANSPARENTE SATINADA X 4 L,PINTURA,$0.00,20,
5-LCTR18-C,LACA CATALIZABLE X 18 LTS,PINTURA,"$158,355.17",20,
5-118,LASUR IMPREGNANTE BRILLANTE ALGARROBO 1 LT,PINTURA,"$8,936.41",20,
5-119,LASUR IMPREGNANTE BRILLANTE ALGARROBO 1/2 LT,PINTURA,"$4,894.29",20,
5-120,LASUR IMPREGNANTE BRILLANTE ALGARROBO 4 LTS,PINTURA,"$31,195.87",20,
5-121,LASUR IMPREGNANTE BRILLANTE CAOBA 1 LT,PINTURA,"$8,936.41",20,
5-122,LASUR IMPREGNANTE BRILLANTE CAOBA 1/2 LT,PINTURA,"$5,075.56",20,
5-123,LASUR IMPREGNANTE BRILLANTE CAOBA 4 LTS,PINTURA,"$31,195.87",20,
5-124,LASUR IMPREGNANTE BRILLANTE CEDRO 1 LT,PINTURA,"$8,936.41",20,
5-125,LASUR IMPREGNANTE BRILLANTE CEDRO 1/2 LT,PINTURA,"$4,894.29",20,
5-126,LASUR IMPREGNANTE BRILLANTE CEDRO 4 LTS,PINTURA,"$31,195.87",20,
5-127,LASUR IMPREGNANTE BRILLANTE NATURAL 1 LT,PINTURA,"$8,936.41",20,
5-128,LASUR IMPREGNANTE BRILLANTE NATURAL 1/2 LT,PINTURA,"$4,894.29",20,
5-129,LASUR IMPREGNANTE BRILLANTE NATURAL 4 LTS,PINTURA,"$31,195.87",20,
5-130,LASUR IMPREGNANTE BRILLANTE NOGAL 1 LT,PINTURA,"$8,936.41",20,
5-131,LASUR IMPREGNANTE BRILLANTE NOGAL 1/2 LT,PINTURA,"$4,894.29",20,
5-132,LASUR IMPREGNANTE BRILLANTE NOGAL 4 LT,PINTURA,"$31,195.87",20,
5-133,LASUR IMPREGNANTE BRILLANTE ROBLE 1 LT,PINTURA,"$8,936.41",20,
5-134,LASUR IMPREGNANTE BRILLANTE ROBLE 1/2 LT,PINTURA,"$4,894.29",20,
